0,1,2,3,4,5,6
Year,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0
All Industries,26093515.0,27535971.0,28663246.0,29601191.0,30895407.0,31397023.0
Manufacturing,4992521.0,5581942.0,5841608.0,5953299.0,6047477.0,5829554.0
"Finance,",,,,,,
"Insurance, Real",,,,,,
,4522451.0,4618678.0,4797313.0,5031881.0,5339678.0,5597018.0
"Estate, Rental,",,,,,,
Leasing,,,,,,
"Arts,",,,,,,
"Entertainment,",,,,,,
"Recreation,",964032.0,1015238.0,1076249.0,1120496.0,1189646.0,1283813.0
"Accommodation,",,,,,,
and Food Service,,,,,,
Other,15614511.0,16320113.0,16948076.0,17495515.0,18318606.0,18686638.0
